publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p868348,,2016-11-17T06:56:06.734Z,2016-11-17T06:57:57.136Z,174.0884015,-41.69580485,2.378867172,25.15625,M,,NonLinLoc,,automatic,nz3drx,14,14,9,0.1079792177,141.9901119,0.5011955474,0
2016p868341,,2016-11-17T06:52:12.414Z,2016-11-17T06:54:45.461Z,174.3856893,-41.64864975,2.834972082,8.515625,M,,NonLinLoc,,automatic,nz3drx,33,33,21,0.1650259662,148.6145782,1.200845957,0
2016p868333,,2016-11-17T06:48:06.273Z,2016-11-17T06:50:24.179Z,173.6536601,-42.41560517,2.436524337,26.5625,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.7163069899,155.4811991,0.76163493,0
2016p868327,,2016-11-17T06:44:50.308Z,2016-11-17T06:47:11.275Z,173.7632621,-42.27528522,2.580782475,29.375,M,,NonLinLoc,,automatic,nz3drx,17,17,6,0.5656395938,169.2566437,0.5773693356,0
2016p868315,,2016-11-17T06:38:18.546Z,2016-11-17T06:40:51.290Z,173.9059657,-41.75718856,2.830004061,17.65625,M,,NonLinLoc,,automatic,nz3drx,29,29,16,0.04613004057,119.864817,1.477807309,0
2016p868308,,2016-11-17T06:34:44.936Z,2016-11-17T06:37:03.539Z,174.3425831,-41.6899223,2.700375494,18.59375,M,,NonLinLoc,,automatic,nz3drx,26,26,14,0.1143414562,157.7616981,0.7845217712,0
2016p868304,,2016-11-17T06:32:37.052Z,2016-11-17T06:36:20.494Z,172.7558617,-42.69168666,3.169101722,12.03125,M,,NonLinLoc,,automatic,nz3drx,34,34,19,0.3435395207,99.16113853,1.254262075,0
2016p868291,,2016-11-17T06:25:57.076Z,2016-11-17T06:29:37.394Z,173.1564178,-42.58643268,3.93082592,40.15625,M,,NonLinLoc,,automatic,nz3drx,90,90,54,0.3912744794,125.587464,1.77482507,0
2016p868285,,2016-11-17T06:22:29.233Z,2016-11-17T06:25:25.333Z,173.8174233,-42.12835653,3.539709355,27.96875,M,,NonLinLoc,,automatic,nz3drx,72,72,43,0.4144230528,136.7233847,1.783515843,0
2016p868283,,2016-11-17T06:21:23.437Z,2016-11-17T06:23:52.284Z,174.2069621,-42.01959986,3.258637735,25.15625,M,,NonLinLoc,,automatic,nz3drx,24,24,18,0.268998731,158.7332032,1.472976743,0
2016p868277,,2016-11-17T06:18:35.096Z,2016-11-17T06:21:34.257Z,174.328794,-41.67867402,2.761396656,9.921875,M,,NonLinLoc,,automatic,nz3drx,43,43,20,0.1127338795,149.1191204,1.55794223,0
2016p868271,,2016-11-17T06:15:13.359Z,2016-11-17T06:18:47.236Z,174.0825104,-42.30793226,3.471591055,20.9375,M,,NonLinLoc,,automatic,nz3drx,61,61,31,0.5669544735,163.6538065,2.216893337,0
2016p868267,,2016-11-17T06:12:46.004Z,2016-11-17T06:16:26.172Z,173.2712478,-42.53635032,3.289234097,27.03125,M,,NonLinLoc,,automatic,nz3drx,33,33,19,0.4648491459,143.9660677,1.046440974,0
2016p868263,,2016-11-17T06:10:37.903Z,2016-11-17T06:13:16.421Z,174.2416736,-41.76620221,2.934777449,8.046875,M,,NonLinLoc,,automatic,nz3drx,36,36,20,0.02563440718,159.5537801,1.374080401,0
2016p868257,,2016-11-17T06:07:36.257Z,2016-11-17T06:09:42.124Z,174.5208286,-39.73181731,2.380795659,82.8125,M,,NonLinLoc,,automatic,nz3drx,24,24,9,0.3572006991,88.63081126,0.9275308294,0
2016p868256,,2016-11-17T06:07:14.013Z,2016-11-17T06:09:08.211Z,174.2277442,-42.00519246,2.464988863,26.5625,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.3873155926,167.9940724,0.9399394508,0
2016p868245,,2016-11-17T06:01:10.041Z,2016-11-17T06:04:54.106Z,173.772282,-42.29723989,4.211628936,54.21875,M,,NonLinLoc,,automatic,nz3drx,114,114,80,0.5863786746,142.158199,1.382406212,0
2016p868242,,2016-11-17T05:59:50.535Z,2016-11-17T06:02:06.976Z,173.60996,-42.45438617,4.018994297,19.0625,M,,NonLinLoc,,automatic,nz3drx,12,12,10,0.6656930592,193.7441549,0.6227897863,0
2016p868234,,2016-11-17T05:55:11.247Z,2016-11-17T07:26:25.031Z,174.7832572,-39.56795612,4.077736691,113.28125,M,,NonLinLoc,,automatic,nz3drx,151,151,97,0.2416508388,48.55038945,1.00438043,0
2016p868232,,2016-11-17T05:54:01.896Z,2016-11-17T05:56:20.925Z,173.7879247,-42.19757798,3.878279262,19.53125,M,,NonLinLoc,,automatic,nz3drx,22,22,13,0.4859735862,152.2558758,1.751259345,0
2016p868222,,2016-11-17T05:49:06.876Z,2016-11-17T05:51:10.389Z,172.6547752,-42.69544076,2.669448296,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.2946474565,123.1230171,1.199994194,0
2016p868219,,2016-11-17T05:47:19.576Z,2016-11-17T05:49:50.204Z,174.1580582,-41.68450349,2.775168966,5.46875,M,,NonLinLoc,,automatic,nz3drx,27,27,19,0.07776835951,77.53050292,1.501537668,0
